#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804781   -0.804781           0
           2   -0.804886   -0.804834 3.71938e-05
           3   -0.804067   -0.804578  0.00021011
           4    -0.80442   -0.804539 0.000161284
           5   -0.804079   -0.804447 0.000152975
           6   -0.804338   -0.804429 0.000128556
           7   -0.804736   -0.804473 0.000117474
           8   -0.804164   -0.804434 0.000108936
           9    -0.80644   -0.804657 0.000231383
          10   -0.804833   -0.804674 0.000208913
          11   -0.803849   -0.804599 0.000202957
          12   -0.805379   -0.804664 0.000196172
          13    -0.80417   -0.804626 0.000184737
          14    -0.80421   -0.804597 0.000173922
          15   -0.803069   -0.804495 0.000189821
          16   -0.804558   -0.804499 0.000177998
          17   -0.805938   -0.804583 0.000186571
          18   -0.804331   -0.804569 0.000176733
          19   -0.804593    -0.80457 0.000167435
          20   -0.804176   -0.804551 0.000160221
