#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.2928     78.2928           0
           2     78.1444     78.2186   0.0524642
           3      79.987     78.8081    0.482579
           4      78.429     78.7133    0.371124
           5      79.247       78.82     0.31187
           6     81.0664     79.1944    0.429363
           7     73.9465     78.4447    0.785619
           8     81.2925     78.8007    0.763819
           9     77.5966     78.6669    0.690568
          10     78.1442     78.6146    0.623486
          11     79.5427      78.699    0.572485
          12     79.2937     78.7486    0.526919
          13     78.7928      78.752    0.486398
          14     80.5562     78.8808    0.468416
          15      80.642     78.9982    0.451663
          16     76.6555     78.8518    0.446538
          17     78.3862     78.8244     0.42111
          18     78.0199     78.7797     0.40008
          19     77.9044     78.7337    0.381667
          20     80.6049     78.8272    0.373875
