#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.338295    0.338295           0
           2    0.334009    0.336152  0.00151534
           3    0.315796    0.329366  0.00563147
           4     0.34376    0.332965  0.00524878
           5    0.329833    0.332338  0.00423622
           6    0.315883    0.329596  0.00432783
           7    0.373127    0.335815  0.00684903
           8    0.315654    0.333294  0.00643986
           9    0.347789    0.334905  0.00592227
          10     0.32999    0.334413   0.0053504
          11    0.318348    0.332953  0.00505941
          12    0.333444    0.332994  0.00463796
          13    0.328996    0.332686  0.00429138
          14    0.311437    0.331169   0.0042448
          15    0.314467    0.330055  0.00410524
          16    0.342678    0.330844  0.00392374
          17    0.331644    0.330891  0.00369321
          18     0.33089    0.330891  0.00348803
          19    0.339388    0.331338  0.00333299
          20      0.3146    0.330501  0.00326973
