#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.973367   -0.973367           0
           2    -0.97329   -0.973328 2.72943e-05
           3   -0.975291   -0.973983 0.000534571
           4   -0.973268   -0.973804 0.000429708
           5   -0.974587   -0.973961  0.00037122
           6   -0.975957   -0.974293 0.000433557
           7   -0.968863   -0.973518 0.000808647
           8   -0.976091   -0.973839 0.000768877
           9   -0.972292   -0.973667 0.000702395
          10   -0.973512   -0.973652 0.000632328
          11    -0.97479   -0.973755 0.000583254
          12   -0.974426   -0.973811  0.00053732
          13   -0.974097   -0.973833 0.000496438
          14   -0.975968   -0.973986  0.00048383
          15   -0.975675   -0.974098   0.0004645
          16   -0.971875   -0.973959 0.000455784
          17   -0.973397   -0.973926 0.000430173
          18   -0.973428   -0.973899 0.000407165
          19    -0.97311   -0.973857 0.000387847
          20   -0.975603   -0.973944  0.00037815
